"Variable","Mean","Std.Dev","Mean","Std.Dev","Mean","Std.Dev","Mean","Std.Dev","Mean","Std.Dev","Mean","Std.Dev","Test"
"chi","Cluster 1 -
 Childless, late parental death","","Cluster 2 -
 Childless, early parental death","","Cluster 3 -
 Early 3-gen family","","Cluster 4 -
 2-gen family)","","Cluster 5 -
 4-gen family","","Cluster 6 -
 Late 3-gen family","",""
"Parent at age 68","0.0037","0.061","0.0031","0.056","1","0","1","0","1","0","1","0","F=220623.345***"
"Number of children","1","","1","","2.5","1.2","1.8","1","2.6","1.2","2.2","1.1","F=51.258***"
"Age at birth of first child","49","","41","","23","3.8","30","6.1","23","4.1","26","5.5","F=211.711***"
"Grandparent at age 68","0","0","0","0","1","0","0.7","0.46","1","0","0.9","0.3","F=1457.147***"
"Number of grandchildren","","","","","4.9","2.6","3.1","1.9","5","2.7","3.9","2.3","F=93.989***"
"Age at birth of first grandchild","","","","","49","4.9","58","5.2","49","5.5","54","6.1","F=462.624***"
"Both parents dead at age 68","0.59","0.49","1","0","1","0","1","0","0.45","0.5","0.86","0.35","F=404.5***"
"Age at death of second parent","62","2.6","47","8.1","47","5.2","45","9.7","62","3","59","3.7","F=913.516***"
"Female","0.42","0.5","0.46","0.5","0.56","0.5","0.44","0.5","0.56","0.5","0.5","0.5","F=9.45***"
"Marital status","269","","319","","757","","800","","988","","1225","","X2=4344.258***"
"... Single","268","100%","318","100%","0","0%","0","0%","0","0%","0","0%",""
"... Divorced","0","0%","0","0%","0","0%","0","0%","0","0%","0","0%",""
"... Widowed","0","0%","0","0%","104","14%","101","13%","152","15%","176","14%",""
"... Married","1","0%","1","0%","653","86%","699","87%","836","85%","1049","86%",""
"Cluster size","269","","319","","757","","800","","988","","1225","","X2=21790***"
"... Cluster 1 -
 Childless, late parental death","269","100%","0","0%","0","0%","0","0%","0","0%","0","0%",""
"... Cluster 2 -
 Childless, early parental death","0","0%","319","100%","0","0%","0","0%","0","0%","0","0%",""
"... Cluster 3 -
 Early 3-gen family","0","0%","0","0%","757","100%","0","0%","0","0%","0","0%",""
"... Cluster 4 -
 2-gen family)","0","0%","0","0%","0","0%","800","100%","0","0%","0","0%",""
"... Cluster 5 -
 4-gen family","0","0%","0","0%","0","0%","0","0%","988","100%","0","0%",""
"... Cluster 6 -
 Late 3-gen family","0","0%","0","0%","0","0%","0","0%","0","0%","1225","100%",""
